Date,Open,High,Low,Close,Adj Close,Volume
2023-02-13,8.000000,8.050000,7.940000,7.940000,7.741500,6100
2023-02-14,8.020000,8.110000,7.970000,8.080000,7.878000,18300
2023-02-15,8.050000,8.070000,7.970000,7.970000,7.770750,12000
2023-02-16,7.960000,8.040000,7.870000,8.000000,7.800000,3300
2023-02-17,8.050000,8.050000,7.950000,8.000000,7.800000,3700
2023-02-21,7.950000,7.950000,7.840000,7.910000,7.712250,4400
2023-02-22,7.870000,7.870000,7.820000,7.840000,7.644001,8000
2023-02-23,7.920000,7.940000,7.900000,7.920000,7.722000,5200
2023-02-24,7.660000,7.700000,7.630000,7.630000,7.439250,10000
2023-02-27,7.730000,7.770000,7.670000,7.670000,7.478250,7600
2023-02-28,7.900000,7.930000,7.840000,7.900000,7.702500,4900
2023-03-01,7.950000,8.020000,7.930000,8.020000,7.819500,9400
2023-03-02,7.910000,7.940000,7.830000,7.900000,7.702500,21300
2023-03-03,7.930000,8.000000,7.900000,8.000000,7.800000,9200
2023-03-06,7.920000,8.120000,7.920000,7.970000,7.770750,5500
2023-03-07,7.970000,7.970000,7.750000,7.830000,7.634250,3200
2023-03-08,7.780000,7.880000,7.740000,7.880000,7.683000,9200
2023-03-09,7.700000,7.770000,7.670000,7.710000,7.517250,7300
2023-03-10,7.760000,7.760000,7.700000,7.710000,7.517250,27100
2023-03-13,6.970000,7.140000,6.870000,7.140000,6.961500,10500
2023-03-14,6.930000,6.930000,6.830000,6.860000,6.688500,31000
2023-03-15,6.820000,6.890000,6.740000,6.790000,6.620250,21000
2023-03-16,6.830000,6.950000,6.800000,6.900000,6.727500,26300
2023-03-17,6.910000,7.000000,6.820000,6.820000,6.649500,14500
2023-03-20,6.680000,6.730000,6.610000,6.670000,6.503250,16300
2023-03-21,6.590000,6.690000,6.580000,6.680000,6.513000,20300
2023-03-22,6.980000,7.050000,6.950000,7.030000,6.854250,72000
2023-03-23,7.010000,7.080000,6.970000,6.970000,6.795750,15800
2023-03-24,6.980000,6.980000,6.810000,6.810000,6.639750,9900
2023-03-27,7.010000,7.010000,6.930000,6.930000,6.756750,17300
2023-03-28,7.100000,7.120000,6.940000,7.020000,6.844500,36900
2023-03-29,7.030000,7.220000,7.030000,7.080000,6.903000,54400
2023-03-30,7.350000,7.350000,7.140000,7.160000,6.981000,16800
2023-03-31,7.130000,7.160000,7.100000,7.160000,6.981000,53800
2023-04-03,7.150000,7.180000,7.080000,7.100000,6.922500,11100
2023-04-04,7.230000,7.240000,7.110000,7.160000,6.981000,146700
2023-04-05,7.090000,7.100000,6.960000,7.080000,7.080000,33500
2023-04-06,7.030000,7.110000,6.950000,7.050000,7.050000,9900
2023-04-10,7.130000,7.130000,6.780000,6.820000,6.820000,14300
2023-04-11,7.080000,7.150000,6.990000,7.110000,7.110000,30400
2023-04-12,7.120000,7.170000,7.040000,7.080000,7.080000,14000
2023-04-13,7.010000,7.290000,7.010000,7.240000,7.240000,25000
2023-04-14,7.180000,7.200000,7.150000,7.190000,7.190000,14800
2023-04-17,6.990000,6.990000,6.930000,6.950000,6.950000,11400
2023-04-18,7.060000,7.060000,6.960000,6.970000,6.970000,8900
2023-04-19,7.090000,7.120000,7.020000,7.100000,7.100000,6100
2023-04-20,7.060000,7.110000,7.010000,7.100000,7.100000,5700
2023-04-21,6.990000,7.020000,6.930000,7.020000,7.020000,5400
2023-04-24,7.010000,7.020000,6.990000,7.000000,7.000000,8800
2023-04-25,6.840000,6.950000,6.840000,6.850000,6.850000,9500
2023-04-26,6.830000,6.920000,6.780000,6.840000,6.840000,17700
2023-04-27,6.920000,7.010000,6.880000,6.960000,6.960000,16800
2023-04-28,6.860000,7.070000,6.860000,7.020000,7.020000,236600
2023-05-01,7.100000,7.120000,6.940000,7.070000,7.070000,11600
2023-05-02,6.830000,6.900000,6.630000,6.700000,6.700000,27200
2023-05-03,6.920000,6.920000,6.740000,6.800000,6.800000,21900
