Serial-No,Period,Age-group,Income-Level," Personal-Hygiene (eg Soap, toothpaste)",Cleaning-products ,Airtime-Data-bundles
1,20/03/2024,Millennials,Middle Income,More,More,Same
2,20/03/2024,Millennials,Middle Income,Same,Same,Same
3,20/03/2024,Millennials,Low Income,Same,Same,Same
4,20/03/2024,Gen X,High Income,More,More,Same
5,20/03/2024,Gen X,High Income,Same,Same,Same
6,20/03/2024,Millennials,Middle Income,More,More,Same
7,20/03/2024,Millennials,High Income,More,Same,Same
8,20/03/2024,Gen Z,Middle Income,Same,More,More
9,20/03/2024,Gen X,High Income,Same,Same,More
10,20/03/2024,Gen X,Middle Income,More,More,More
11,20/03/2024,Millennials,Middle Income,Same,Same,Same
12,20/03/2024,Millennials,High Income,Less,Same,Same
13,20/03/2024,Millennials,Middle Income,Less,Same,Same
14,20/03/2024,Millennials,Middle Income,Same,Same,More
15,20/03/2024,Millennials,Middle Income,Same,Less,Same
16,20/03/2024,Gen X,Middle Income,Same,Same,Less
17,20/03/2024,Millennials,High Income,Same,Same,Same
18,20/03/2024,Millennials,Low Income,Less,Same,Same
19,20/03/2024,Millennials,Middle Income,Same,More,Same
20,20/03/2024,Gen X,High Income,Same,Same,More
21,20/03/2024,Millennials,High Income,Same,More,Same
22,20/03/2024,Gen X,High Income,Same,Same,Same
23,20/03/2024,Millennials,Middle Income,Same,More,Same
24,20/03/2024,Millennials,High Income,Same,Same,Same
25,20/03/2024,Gen X,Middle Income,Same,More,More
26,20/03/2024,Millennials,Middle Income,Same,Same,Same
27,20/03/2024,Gen X,Middle Income,Same,Same,More
28,20/03/2024,Gen X,Middle Income,Same,Same,More
29,20/03/2024,Gen X,High Income,More,More,Same
30,20/03/2024,Millennials,Middle Income,Same,Same,More
31,20/03/2024,Gen X,Middle Income,More,Same,More
32,20/03/2024,Baby Boomers,Middle Income,Less,Less,Same
33,20/03/2024,Millennials,High Income,Same,More,Same
34,20/03/2024,Baby Boomers,Middle Income,Less,More,Same
35,20/03/2024,Gen X,High Income,More,More,Same
36,20/03/2024,Gen X,High Income,Same,Same,Same
37,20/03/2024,Millennials,Middle Income,Same,Same,Same
38,20/03/2024,Millennials,Middle Income,Same,Same,More
39,20/03/2024,Millennials,Middle Income,Same,Same,More
40,20/03/2024,Baby Boomers,High Income,More,More,Same
41,20/03/2024,Millennials,Low Income,Same,More,Same
42,20/03/2024,Baby Boomers,Middle Income,Less,Less,Less
43,20/03/2024,Gen X,Low Income,Same,Same,Same
44,20/03/2024,Gen X,Middle Income,Same,Same,Same
45,20/03/2024,Gen X,Middle Income,Same,Same,Same
46,20/03/2024,Gen X,Middle Income,Same,Same,Same
47,20/03/2024,Baby Boomers,High Income,Same,Same,Same
48,20/03/2024,Gen X,Middle Income,Same,Same,Less
49,20/03/2024,Gen X,High Income,Same,Same,Same
50,20/03/2024,Gen X,Middle Income,Same,More,Same
51,20/03/2024,Millennials,High Income,Same,Same,Same
52,20/03/2024,Gen X,Middle Income,Same,Less,Same
53,20/03/2024,Gen X,Middle Income,Same,Same,More
54,20/03/2024,Gen X,High Income,Same,Same,Same
55,20/03/2024,Gen X,High Income,Same,Same,Same
56,20/03/2024,Gen X,Middle Income,Less,Same,Same
57,20/03/2024,Gen Z,Middle Income,Same,Less,Same
58,20/03/2024,Gen X,Middle Income,Same,Same,Same
59,20/03/2024,Baby Boomers,Middle Income,Don't Know or Don't Buy,Don't Know or Don't Buy,Don't Know or Don't Buy
60,20/03/2024,Gen X,Middle Income,Same,Same,More
61,20/03/2024,Millennials,High Income,Same,Same,Same
62,20/03/2024,Millennials,Middle Income,More,More,Same
63,20/03/2024,Millennials,Middle Income,Less,Same,Same
64,20/03/2024,Millennials,Middle Income,Same,Same,Same
65,20/03/2024,Millennials,Middle Income,Same,More,More
66,20/03/2024,Millennials,Low Income,Same,Same,Same
67,20/03/2024,Millennials,Middle Income,Same,Same,Same
68,20/03/2024,Millennials,Middle Income,Same,Same,Same
69,20/03/2024,Gen X,Middle Income,Same,Same,Less
70,20/03/2024,Millennials,Middle Income,Same,Same,Less
71,20/03/2024,Gen X,Middle Income,Same,More,Less
72,20/03/2024,Millennials,Middle Income,Same,Less,Same
73,20/03/2024,Millennials,Middle Income,Same,Same,Same
74,20/03/2024,Gen X,High Income,Same,Same,Same
75,20/03/2024,Gen X,Middle Income,Same,Same,Same
76,20/03/2024,Millennials,Middle Income,Same,Same,Same
77,20/03/2024,Millennials,Low Income,Same,Same,Same
78,20/03/2024,Baby Boomers,Middle Income,Same,Same,Same
79,20/03/2024,Millennials,Middle Income,Same,Less,Same
80,20/03/2024,Gen X,Middle Income,Same,More,More
81,20/03/2024,Baby Boomers,Middle Income,Same,Less,Less
82,20/03/2024,Millennials,Middle Income,Less,Less,Same
