Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
VEN,1991-01-01,1991-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,12512.000000,A
VEN,1992-01-01,1992-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,17960.000000,A
VEN,1993-01-01,1993-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,17960.000000,A
VEN,1994-01-01,1994-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,28780.000000,A
VEN,1995-01-01,1995-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,43080.000000,A
VEN,1996-01-01,1996-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,87520.000000,A
VEN,1997-01-01,1997-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,165760.000000,A
VEN,1998-01-01,1998-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,263420.000000,A
VEN,1999-01-01,1999-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,253480.000000,A
VEN,2000-01-01,2000-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,274270.000000,A
VEN,2001-01-01,2001-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,337310.000000,A
VEN,2002-01-01,2002-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,331190.000000,A
VEN,2003-01-01,2003-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,525860.000000,A
VEN,2004-01-01,2004-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,988060.000000,A
VEN,2005-01-01,2005-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,641670.000000,A
VEN,2006-01-01,2006-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,909940.000000,A
VEN,2007-01-01,2007-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,1640092.400000,A
VEN,2008-01-01,2008-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,2082.500000,A
VEN,2009-01-01,2009-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2009,2009,7021,Annual value,LCU,4550.000000,A
VEN,2010-01-01,2010-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2010,2010,7021,Annual value,LCU,8550.000000,A
VEN,2011-01-01,2011-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,7470.000000,A
VEN,2012-01-01,2012-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,8120.000000,A
VEN,2013-01-01,2013-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2013,2013,7021,Annual value,LCU,13200.000000,A
VEN,2014-01-01,2014-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5530,Producer Price (LCU/tonne),2014,2014,7021,Annual value,LCU,25660.000000,A
VEN,1991-01-01,1991-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),1991,1991,7021,Annual value,SLC,12.500000,A
VEN,1992-01-01,1992-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),1992,1992,7021,Annual value,SLC,18.000000,A
VEN,1993-01-01,1993-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),1993,1993,7021,Annual value,SLC,18.000000,A
VEN,1994-01-01,1994-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),1994,1994,7021,Annual value,SLC,28.800000,A
VEN,1995-01-01,1995-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),1995,1995,7021,Annual value,SLC,43.100000,A
VEN,1996-01-01,1996-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),1996,1996,7021,Annual value,SLC,87.500000,A
VEN,1997-01-01,1997-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),1997,1997,7021,Annual value,SLC,165.800000,A
VEN,1998-01-01,1998-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),1998,1998,7021,Annual value,SLC,263.400000,A
VEN,1999-01-01,1999-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),1999,1999,7021,Annual value,SLC,253.500000,A
VEN,2000-01-01,2000-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2000,2000,7021,Annual value,SLC,274.300000,A
VEN,2001-01-01,2001-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2001,2001,7021,Annual value,SLC,337.300000,A
VEN,2002-01-01,2002-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2002,2002,7021,Annual value,SLC,331.200000,A
VEN,2003-01-01,2003-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2003,2003,7021,Annual value,SLC,525.900000,A
VEN,2004-01-01,2004-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2004,2004,7021,Annual value,SLC,988.100000,A
VEN,2005-01-01,2005-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2005,2005,7021,Annual value,SLC,641.700000,A
